Year,SiteCode,Visibility,DiverCode,Hammerheads,SST,ONI
2012,110,12,9,1,29.39999962,-0.38
2018,103,15,3,20,29.52999878,-0.41
2016,103,12,4,15,27.12999916,-0.74
2007,101,30,3,20,29.1799984,0.32
2019,112,24,43,40,27.76999855,0.13
2007,111,9,3,15,25.52999878,-1.6
2000,114,24,32,20,27.28999901,-0.64
2006,103,28,21,5,29.84000015,-0.67
2012,103,15,15,10,26.78999901,0.33
2011,114,8,4,0,26.81999969,-0.46
2017,103,21,44,50,27.29999924,-0.14
2010,114,24,4,60,28.34000015,-0.59
2002,118,27,12,0,28.93000031,0.2
2011,106,24,6,50,28.51000023,-0.64
2016,107,18,24,0,27,-0.56
2006,105,24,21,0,27.89999962,-0.67
2008,110,15,3,30,27.48999977,-0.41
2012,110,15,9,0,28.89999962,-0.38
2002,103,25,14,10,27.32999992,1.01
2003,103,27,11,12,27.34999847,0.35
2013,112,18,18,15,28.53999901,-0.27
2002,106,30,7,50,27.89999962,0.03
1998,108,24,13,0,28.84999847,0.45
2003,101,27,11,20,28.20999908,-0.04
2016,106,18,24,100,27.96999931,-0.57
2010,110,12,4,4,27.47999954,-1.03
2012,118,30,26,2,28.01000023,0.27
2005,103,24,2,10,26.51000023,-0.81
2005,103,7,5,50,27.86999893,0.29
2009,117,12,4,0,29.36999893,-0.24
2012,117,24,9,0,29.40999985,-0.62
2002,115,26,12,3,28.42000008,1.14
2013,107,5,18,2,27.73999977,-0.31
2011,103,30,4,2,25.87999916,-1.03
2012,106,20,3,2,28.13999939,0.27
1996,103,23,19,150,26.80999947,-0.45
2017,111,15,44,0,27.48999977,0.16
2016,106,18,24,6,29.27999878,0.48
2016,103,12,3,30,26.93000031,-0.74
2012,110,20,3,5,27.76000023,0.27
2000,115,21,1,15,26.95999908,-1.41
1998,103,30,1,10,26.48999977,-1.57
2008,111,12,34,0,26.97999954,-0.41
2005,103,18,5,3,25.73999977,-0.81
2006,117,20,21,8,27.77999878,0.71
2008,101,18,3,50,27.5,-0.3
1995,101,21,20,30,26.86999893,-0.03
2016,107,6,4,0,26.40999985,-0.71
2012,101,15,4,40,28,0.31
2017,112,14,24,15,30.01000023,0.29
2009,101,12,3,20,29.67000008,-0.52
2012,102,15,3,0,27.86999893,0.33
2012,112,18,26,20,27.52999878,0.33
2018,111,15,46,2,27.09999847,0.81
2008,116,15,18,0,29.06999969,-0.92
2011,114,18,10,27,27.19999886,-0.65
2015,103,12,28,10,29.22999954,0.62
2010,103,18,6,20,29.28999901,0.94
2014,101,21,2,10,29.09000015,-0.36
2007,111,15,2,20,26.68000031,-1.4
2007,110,18,6,50,27.76999855,-0.54
2009,106,21,2,150,28.40999985,0.54
2010,118,18,29,15,26.82999992,-1.38
2007,113,15,5,0,25.89999962,-1.54
2006,117,12,6,20,27.88999939,-0.05
2014,113,15,9,0,29.22999954,-0.36
2015,111,14,28,7,28.57999992,1.83
2014,110,14,28,30,27.68000031,0.44
2011,110,20,15,50,28.01999855,-0.64
2005,101,10,14,100,27.87999916,0.45
2011,106,18,29,15,26.34999847,-1.37
2003,103,21,1,6,28.22999954,0.63
2016,110,15,28,30,26.76000023,-0.74
2019,113,11,31,0,30.01000023,0.81
2019,111,18,43,20,27.68000031,0.11
2008,108,8,5,0,26.96999931,-1.59
2001,101,12,7,200,27.20999908,-0.13
2007,118,24,3,0,29.55999947,0.71
2000,103,21,1,10,25.31999969,-0.63
2009,106,12,3,50,28.80999947,-0.52
2017,103,18,44,50,28.22999954,0.38
2006,101,18,2,5,26.43000031,0.9
2010,101,21,6,100,27.59999847,-1.03
2004,111,24,17,0,27.30999947,0.69
2003,103,27,12,3,27.06999969,0.08
1997,106,30,13,0,28.67000008,1.9
2019,112,37,50,8,28.93000031,0.63
2015,114,15,24,2,29.77999878,1.02
2015,113,14,28,0,28.40999985,0.56
2017,111,15,3,8,29.52999878,-0.06
2000,105,24,7,300,26.36999893,-1.66
2010,103,24,3,30,27.94999886,-1.03
2018,111,20,43,20,26.97999954,0.43
2008,103,24,2,5,26.54999924,-0.73
1999,101,30,1,200,27.89999962,-1.3
2007,103,18,6,20,27.18000031,-0.84
2017,112,12,31,5,30.17000008,-0.06
2016,107,8,31,0,27.3599987,-0.34
2012,110,20,15,0,29.59999847,-0.38
2015,111,14,28,6,28.01999855,2.37
2008,101,15,3,20,27.31999969,-0.3
2011,101,18,22,12,27.07999992,-0.89
2007,118,30,15,300,27.68000031,-0.54
2003,118,12,1,20,26.6099987,0.29
2006,118,30,15,0,27.11999893,0.95
2006,101,12,5,30,26.84000015,0.9
2016,102,9,3,0,27.18999863,-0.68
2017,117,12,3,100,26,-0.14
2011,103,12,9,20,27.09000015,-1.06
2009,111,15,3,1,27.46999931,1.31
2007,103,18,5,50,25.65999985,-1.6
2001,101,24,1,300,27.52999878,-0.08
2007,113,18,3,6,27.42000008,-0.29
2002,112,21,25,10,28.13999939,0.79
2006,116,15,2,0,28.09000015,0.48
2011,105,30,4,4,26.57999992,-0.89
2006,103,30,8,4,27.38999939,0.95
2002,118,24,25,10,27.34999847,1.01
2000,101,24,7,100,27.23999977,-0.64
2016,105,15,3,2,29.61999893,0.48
2014,111,12,24,0,27.73999977,0.3
2003,103,30,14,5,27.32999992,0.21
2014,103,18,9,10,27.51000023,0.18
1999,108,21,1,10,29.82999992,-1.07
2012,111,12,24,0,26.80999947,0.01
2005,107,10,5,0,28.25,0.43
2010,114,25,18,2,28.40999985,-0.59
2007,101,16,3,60,27.38999939,-0.54
2011,101,15,6,8,26.21999931,-1.14
2006,114,24,2,20,26.61999893,0.9
2014,107,12,24,0,27.3599987,0.44
2011,103,15,6,20,27.76999855,-0.38
2000,113,18,7,0,28.80999947,-0.81
2018,111,15,3,5,27.20999908,0.7
2011,101,15,31,100,28.55999947,-1.09
2019,112,15,49,0,28.45999908,0.63
2013,118,15,3,0,26.88999939,-0.35
2016,106,21,31,15,29.27999878,0.48
1999,115,27,16,40,25.95999908,-1.26
2005,112,20,37,10,25.21999931,-0.57
2018,114,37,50,2,27.92000008,0.85
2009,103,15,3,10,27.73999977,0.54
2005,105,27,2,15,27.01999855,-0.06
2003,103,24,13,10,27.23999977,0.35
2018,110,21,50,2,27.18000031,0.43
2012,110,20,15,0,27.54999924,0.21
2019,106,15,31,5,28.45999908,0.3
1994,110,30,27,6,28.20999908,0.42
2017,118,18,44,5,26.87999916,0.16
2006,118,20,8,16,26.87999916,0.71
2002,108,18,12,0,27.68999863,1.01
2014,103,15,4,0,29.12999916,0.23
2014,113,15,3,0,28.59999847,0.07
2008,105,37,2,30,29.13999939,-1.19
1996,110,14,19,50,25.86999893,-0.45
2008,101,15,4,100,28.27999878,-0.75
2013,101,15,3,10,28.59999847,-0.33
2000,117,21,32,0,27.80999947,-0.64
2006,112,18,2,20,28.42000008,-0.28
2013,115,18,9,30,28.76000023,-0.27
2013,111,15,9,40,27.43000031,-0.23
2014,111,9,4,0,28.93000031,0.3
2015,101,18,4,20,28.01999855,2.37
2013,103,25,28,50,29.1799984,-0.24
2014,115,18,9,0,27.62999916,0.66
2015,103,30,4,2,29.4299984,2.64
2019,118,9,45,0,27.42000008,0.13
2012,114,30,28,1,27.44999886,-0.21
2018,114,15,48,1,30.11999893,-0.6
2005,101,14,8,3,26.17000008,-0.29
2015,112,14,28,2,29.43999863,1.54
2006,108,8,5,0,27.18999863,0.71
2014,103,15,3,100,27.19999886,0.44
2016,112,9,3,70,27.23999977,-0.68
1999,108,18,1,40,28.20999908,-1.3
1998,103,61,23,10,26.75,-1.57
2011,115,18,30,0,28.45999908,-0.83
1997,112,14,19,2,29.86999893,0.75
2017,101,15,3,0,26.94999886,-0.44
2015,113,18,24,0,30.1099987,0.79
2011,105,18,9,5,28.19999886,-0.47
2005,112,30,17,5,27.38999939,-0.06
2008,105,16,18,0,28.87999916,-0.75
2000,103,21,1,20,28.82999992,-0.81
2018,101,24,10,10,28.70999908,-0.13
2008,103,21,8,100,27.09000015,-0.35
2007,101,15,3,40,26.67000008,-1.4
2017,117,21,44,1,27.01000023,-0.97
2019,110,8,31,3,28.45999908,0.75
2007,101,15,4,3,26.68999863,-1.4
2002,114,15,25,2,27.8599987,0.86
2007,112,12,2,30,29.48999977,-0.23
2010,101,20,29,40,26.61999893,-1.61
2005,101,24,2,30,27.57999992,-0.14
2018,112,24,45,20,30.09999847,-0.6
2012,105,30,26,200,28.6099987,0.05
2014,113,15,9,0,29.4299984,-0.17
2002,101,24,11,15,28.86999893,0.09
2019,114,18,31,1,27.94999886,0.3
2007,112,12,3,80,25.79999924,-1.6
2013,114,15,2,80,28.36999893,-0.33
1995,111,18,20,1,27.61999893,0.3
2008,110,30,15,200,28.82999992,-0.75
2010,103,30,18,50,27.51000023,-1.03
2007,115,21,3,1,30.12999916,0.32
2015,114,15,31,1,29.80999947,1.02
2005,111,21,11,6,28.54999924,0.29
2014,103,12,3,3,28.8599987,0.3
2017,103,21,24,50,29.78999901,0.39
2015,102,15,24,0,30.22999954,0.79
2011,101,21,10,3,26.55999947,-1.03
2010,103,24,4,15,26.77999878,-1.59
2017,111,15,31,20,27.26000023,-0.7
2006,103,18,21,34,28.8599987,-0.47
2017,110,12,18,12,27.40999985,-0.7
2008,103,15,2,40,27.14999962,-0.35
2018,112,15,45,100,27.22999954,0.2
2009,112,18,35,4,27.3599987,0.54
2009,105,12,3,20,27.98999977,-0.52
2006,112,25,21,23,28.68000031,-0.28
2008,118,15,6,40,28.89999962,-1.19
2008,103,18,2,80,27.46999931,-0.26
2014,102,9,24,0,27.90999985,0.44
2002,110,10,14,0,29.44999886,1.14
2017,101,18,44,10,27.47999954,0.16
2006,103,24,2,20,26.78999901,0.9
2011,103,18,6,20,27.51999855,-0.38
1995,103,27,20,100,29.56999969,0.72
2011,107,6,4,0,26.81999969,-0.46
2015,112,15,31,20,27.93000031,2.53
2011,106,18,29,0,26.59999847,-1.37
2018,103,43,50,50,27.05999947,0.81
2018,117,15,45,1,27.43000031,0.2
2019,111,15,3,15,27.36999893,0.52
2000,103,12,7,2,27.1099987,-0.64
2017,103,21,44,100,27.11999893,0.16
2003,108,18,1,2,26.23999977,0.26
2000,108,30,7,20,27.57999992,-0.55
2000,101,24,16,100,29.20999908,-1.41
2016,112,14,18,15,26.32999992,-0.71
2006,112,15,2,40,26.36999893,0.9
2016,110,9,18,70,27.23999977,-0.68
2009,101,12,2,40,29.34000015,-0.24
2003,111,40,14,0,27.80999947,0.35
2001,106,12,15,5,25.68000031,-0.35
2005,103,27,17,30,25.98999977,-0.57
2005,111,10,37,0,26.68999863,-0.11
2005,112,25,37,60,26.68999863,-0.11
2004,118,20,5,10,26.89999962,0.66
2014,110,24,24,0,28.01000023,0.3
2016,117,21,44,0,29.3599987,2.53
2014,101,18,2,70,28.05999947,0.18
2004,116,18,13,10,26.95999908,0.47
2008,111,21,6,2,29.38999939,-1.19
2007,108,15,15,60,27.05999947,-0.29
2012,111,15,15,1,26.68000031,-0.21
2010,113,18,6,0,29.3599987,0.94
2005,101,30,8,9,27.28999901,0.45
2002,118,24,1,3,27.64999962,0.79
2012,114,30,26,3,27.3599987,0.33
2018,118,15,10,0,28.70999908,-0.76
2013,107,9,28,0,27.23999977,-0.31
2010,101,15,4,0,28.78999901,1.55
2007,118,15,6,10,27.79999924,-1.13
2012,114,15,3,0,30.09000015,-0.5
2013,113,14,9,0,27.09000015,-0.22
2000,103,24,1,200,28.02999878,-0.55
2009,110,15,3,30,28.01000023,1.31
2007,114,12,5,40,26.80999947,-0.54
2017,112,15,3,20,27.22999954,-0.44
